Index,Date,Team1,Team2,Team1_country,Team2_country,Map,Team1_Score,Team2_Score,Event,Total_rounds,rnd_diff,winner,Team1_region,Team2_region,Event_priority
0,2021-11-13,fnatic,MAD Lions,United Kingdom,Europe,Ancient,16,14,DreamHack Open November 2021,30,2,1,EU,EU,1
1,2021-11-12,forZe,ENCE,Russia,Europe,Mirage,16,10,DreamHack Open November 2021,26,6,1,CIS,EU,1
2,2021-11-12,forZe,ENCE,Russia,Europe,Nuke,16,8,DreamHack Open November 2021,24,8,1,CIS,EU,1
3,2021-11-12,ENCE,forZe,Europe,Russia,Ancient,16,7,DreamHack Open November 2021,23,9,1,EU,CIS,1
4,2021-11-12,1WIN,Nemiga,Russia,Belarus,Nuke,6,16,ESEA Premier Season 39 Europe,22,-10,2,CIS,CIS,2
5,2021-11-12,Nemiga,1WIN,Belarus,Russia,Dust2,16,11,ESEA Premier Season 39 Europe,27,5,1,CIS,CIS,2
6,2021-11-12,1WIN,Nemiga,Russia,Belarus,Mirage,16,10,ESEA Premier Season 39 Europe,26,6,1,CIS,CIS,2
7,2021-11-12,Dignitas,Copenhagen Flames,Sweden,Denmark,Mirage,7,16,REPUBLEAGUE TIPOS Season 2,23,-9,2,EU,EU,2
8,2021-11-12,Copenhagen Flames,Dignitas,Denmark,Sweden,Inferno,16,12,REPUBLEAGUE TIPOS Season 2,28,4,1,EU,EU,2
9,2021-11-12,Dignitas,Copenhagen Flames,Sweden,Denmark,Ancient,16,6,REPUBLEAGUE TIPOS Season 2,22,10,1,EU,EU,2
10,2021-11-12,MAD Lions,MOUZ,Europe,Europe,Nuke,16,8,DreamHack Open November 2021,24,8,1,EU,EU,1
11,2021-11-12,MOUZ,MAD Lions,Europe,Europe,Dust2,13,16,DreamHack Open November 2021,29,-3,2,EU,EU,1
12,2021-11-11,fnatic,ENCE,United Kingdom,Europe,Nuke,16,9,DreamHack Open November 2021,25,7,1,EU,EU,1
13,2021-11-11,ENCE,fnatic,Europe,United Kingdom,Overpass,14,16,DreamHack Open November 2021,30,-2,2,EU,EU,1
14,2021-11-11,1WIN,LDLC,Russia,France,Ancient,16,8,ESEA Premier Season 39 Europe,24,8,1,CIS,EU,2
15,2021-11-11,LDLC,1WIN,France,Russia,Vertigo,14,16,ESEA Premier Season 39 Europe,30,-2,2,EU,CIS,2
16,2021-11-11,1WIN,LDLC,Russia,France,Nuke,8,16,ESEA Premier Season 39 Europe,24,-8,2,CIS,EU,2
17,2021-11-11,forZe,Spirit,Russia,Russia,Nuke,16,0,DreamHack Open November 2021,16,16,1,CIS,CIS,1
18,2021-11-11,Spirit,forZe,Russia,Russia,Ancient,15,19,DreamHack Open November 2021,34,-4,2,CIS,CIS,1
19,2021-11-11,GamerLegion,MOUZ,Sweden,Europe,Nuke,13,16,DreamHack Open November 2021,29,-3,2,EU,EU,1
20,2021-11-11,MOUZ,GamerLegion,Europe,Sweden,Ancient,16,11,DreamHack Open November 2021,27,5,1,EU,EU,1
21,2021-11-11,MAD Lions,BIG,Europe,Germany,Dust2,13,16,DreamHack Open November 2021,29,-3,2,EU,EU,1
22,2021-11-11,BIG,MAD Lions,Germany,Europe,Mirage,16,4,DreamHack Open November 2021,20,12,1,EU,EU,1
23,2021-11-10,Spirit,fnatic,Russia,United Kingdom,Inferno,4,16,DreamHack Open November 2021,20,-12,2,CIS,EU,1
24,2021-11-10,fnatic,Spirit,United Kingdom,Russia,Mirage,16,9,DreamHack Open November 2021,25,7,1,EU,CIS,1
25,2021-11-10,Sinners,Entropiq,Czech Republic,Russia,Mirage,14,16,REPUBLEAGUE TIPOS Season 2,30,-2,2,EU,CIS,2
26,2021-11-10,Entropiq,Sinners,Russia,Czech Republic,Nuke,16,5,REPUBLEAGUE TIPOS Season 2,21,11,1,CIS,EU,2
27,2021-11-10,DBL PONEY,Finest,France,Europe,Overpass,7,16,ESEA Premier Season 39 Europe,23,-9,2,EU,EU,2
28,2021-11-10,Finest,DBL PONEY,Europe,France,Vertigo,16,13,ESEA Premier Season 39 Europe,29,3,1,EU,EU,2
29,2021-11-10,forZe,ENCE,Russia,Europe,Nuke,10,16,DreamHack Open November 2021,26,-6,2,CIS,EU,1
30,2021-11-10,ENCE,forZe,Europe,Russia,Ancient,16,13,DreamHack Open November 2021,29,3,1,EU,CIS,1
31,2021-11-10,SKADE,Fiend,Bulgaria,Bulgaria,Mirage,10,16,REPUBLEAGUE TIPOS Season 2,26,-6,2,EU,EU,2
32,2021-11-10,SKADE,Fiend,Bulgaria,Bulgaria,Inferno,16,11,REPUBLEAGUE TIPOS Season 2,27,5,1,EU,EU,2
33,2021-11-10,Fiend,SKADE,Bulgaria,Bulgaria,Dust2,16,11,REPUBLEAGUE TIPOS Season 2,27,5,1,EU,EU,2
34,2021-11-10,GamerLegion,BIG,Sweden,Germany,Vertigo,14,16,DreamHack Open November 2021,30,-2,2,EU,EU,1
35,2021-11-10,GamerLegion,BIG,Sweden,Germany,Overpass,19,16,DreamHack Open November 2021,35,3,1,EU,EU,1
36,2021-11-10,BIG,GamerLegion,Germany,Sweden,Mirage,16,12,DreamHack Open November 2021,28,4,1,EU,EU,1
37,2021-11-10,MAD Lions,MOUZ,Europe,Europe,Mirage,16,8,DreamHack Open November 2021,24,8,1,EU,EU,1
38,2021-11-10,MAD Lions,MOUZ,Europe,Europe,Nuke,10,16,DreamHack Open November 2021,26,-6,2,EU,EU,1
39,2021-11-10,MOUZ,MAD Lions,Europe,Europe,Dust2,12,16,DreamHack Open November 2021,28,-4,2,EU,EU,1
40,2021-11-09,forZe,Finest,Russia,Europe,Inferno,7,16,ESEA Premier Season 39 Europe,23,-9,2,CIS,EU,2
41,2021-11-09,forZe,Finest,Russia,Europe,Overpass,14,16,ESEA Premier Season 39 Europe,30,-2,2,CIS,EU,2
42,2021-11-09,Finest,forZe,Europe,Russia,Mirage,6,16,ESEA Premier Season 39 Europe,22,-10,2,EU,CIS,2
43,2021-11-09,Movistar Riders,Nemiga,Spain,Belarus,Mirage,16,13,ESEA Premier Season 39 Europe,29,3,1,EU,CIS,2
44,2021-11-09,Nemiga,Movistar Riders,Belarus,Spain,Inferno,7,16,ESEA Premier Season 39 Europe,23,-9,2,CIS,EU,2
45,2021-11-09,BLINK,Sprout,Albania,Germany,Vertigo,7,16,ESEA Premier Season 39 Europe,23,-9,2,EU,EU,2
46,2021-11-09,Sprout,BLINK,Germany,Albania,Overpass,16,14,ESEA Premier Season 39 Europe,30,2,1,EU,EU,2
47,2021-11-09,Entropiq,Lyngby Vikings,Russia,Denmark,Nuke,16,12,Pinnacle Fall Series 2,28,4,1,CIS,EU,3
48,2021-11-09,Lyngby Vikings,Entropiq,Denmark,Russia,Overpass,13,16,Pinnacle Fall Series 2,29,-3,2,EU,CIS,3
49,2021-11-09,Entropiq,Lyngby Vikings,Russia,Denmark,Vertigo,14,16,Pinnacle Fall Series 2,30,-2,2,CIS,EU,3
50,2021-11-03,GamerLegion,Finest,Sweden,Europe,Mirage,7,16,ESEA Premier Season 39 Europe,23,-9,2,EU,EU,2
51,2021-11-03,Finest,GamerLegion,Europe,Sweden,Vertigo,7,16,ESEA Premier Season 39 Europe,23,-9,2,EU,EU,2
52,2021-11-03,GamerLegion,Finest,Sweden,Europe,Inferno,7,16,ESEA Premier Season 39 Europe,23,-9,2,EU,EU,2
53,2021-11-03,Sinners,AGO,Czech Republic,Poland,Ancient,5,16,ESEA Premier Season 39 Europe,21,-11,2,EU,EU,2
54,2021-11-03,AGO,Sinners,Poland,Czech Republic,Nuke,16,10,ESEA Premier Season 39 Europe,26,6,1,EU,EU,2
55,2021-11-03,Sinners,AGO,Czech Republic,Poland,Mirage,16,11,ESEA Premier Season 39 Europe,27,5,1,EU,EU,2
56,2021-11-03,TeamOne,Extra Salt,Brazil,North America,Nuke,6,16,ESEA Premier Season 39 North America,22,-10,2,SA,N_A,2
57,2021-11-03,Extra Salt,TeamOne,North America,Brazil,Inferno,16,1,ESEA Premier Season 39 North America,17,15,1,N_A,SA,2
58,2021-11-02,NIP,Copenhagen Flames,Sweden,Denmark,Ancient,19,17,PGL Major Stockholm 2021,36,2,1,EU,EU,1
59,2021-11-02,Copenhagen Flames,NIP,Denmark,Sweden,Inferno,13,16,PGL Major Stockholm 2021,29,-3,2,EU,EU,1
60,2021-11-02,NIP,Copenhagen Flames,Sweden,Denmark,Nuke,10,16,PGL Major Stockholm 2021,26,-6,2,EU,EU,1
61,2021-11-02,Sinners,GamerLegion,Czech Republic,Sweden,Vertigo,19,16,ESEA Premier Season 39 Europe,35,3,1,EU,EU,2
62,2021-11-02,GamerLegion,Sinners,Sweden,Czech Republic,Inferno,11,16,ESEA Premier Season 39 Europe,27,-5,2,EU,EU,2
63,2021-11-02,FaZe,Virtus.pro,Europe,CIS,Overpass,11,16,PGL Major Stockholm 2021,27,-5,2,EU,CIS,1
64,2021-11-02,Virtus.pro,FaZe,CIS,Europe,Ancient,16,14,PGL Major Stockholm 2021,30,2,1,CIS,EU,1
65,2021-11-02,FaZe,Virtus.pro,Europe,CIS,Inferno,16,13,PGL Major Stockholm 2021,29,3,1,EU,CIS,1
66,2021-11-02,Vitality,Entropiq,France,Russia,Dust2,16,5,PGL Major Stockholm 2021,21,11,1,EU,CIS,1
67,2021-11-02,Entropiq,Vitality,Russia,France,Overpass,16,13,PGL Major Stockholm 2021,29,3,1,CIS,EU,1
68,2021-11-02,Vitality,Entropiq,France,Russia,Mirage,16,14,PGL Major Stockholm 2021,30,2,1,EU,CIS,1
69,2021-11-01,Virtus.pro,MOUZ,CIS,Europe,Vertigo,22,18,PGL Major Stockholm 2021,40,4,1,CIS,EU,1
70,2021-11-01,MOUZ,Virtus.pro,Europe,CIS,Inferno,3,16,PGL Major Stockholm 2021,19,-13,2,EU,CIS,1
71,2021-11-01,Virtus.pro,MOUZ,CIS,Europe,Ancient,9,16,PGL Major Stockholm 2021,25,-7,2,CIS,EU,1
72,2021-11-01,Copenhagen Flames,Heroic,Denmark,Denmark,Overpass,11,16,PGL Major Stockholm 2021,27,-5,2,EU,EU,1
73,2021-11-01,Heroic,Copenhagen Flames,Denmark,Denmark,Ancient,13,16,PGL Major Stockholm 2021,29,-3,2,EU,EU,1
74,2021-11-01,Copenhagen Flames,Heroic,Denmark,Denmark,Nuke,4,16,PGL Major Stockholm 2021,20,-12,2,EU,EU,1
75,2021-11-01,Gambit,NIP,Russia,Sweden,Inferno,16,6,PGL Major Stockholm 2021,22,10,1,CIS,EU,1
76,2021-11-01,NIP,Gambit,Sweden,Russia,Dust2,13,16,PGL Major Stockholm 2021,29,-3,2,EU,CIS,1
77,2021-11-01,Vitality,Astralis,France,Denmark,Dust2,16,13,PGL Major Stockholm 2021,29,3,1,EU,EU,1
78,2021-11-01,Astralis,Vitality,Denmark,France,Vertigo,16,14,PGL Major Stockholm 2021,30,2,1,EU,EU,1
79,2021-11-01,Vitality,Astralis,France,Denmark,Nuke,16,10,PGL Major Stockholm 2021,26,6,1,EU,EU,1
80,2021-11-01,FURIA,Entropiq,Brazil,Russia,Ancient,16,12,PGL Major Stockholm 2021,28,4,1,SA,CIS,1
81,2021-11-01,Entropiq,FURIA,Russia,Brazil,Nuke,16,8,PGL Major Stockholm 2021,24,8,1,CIS,SA,1
82,2021-11-01,FURIA,Entropiq,Brazil,Russia,Vertigo,16,6,PGL Major Stockholm 2021,22,10,1,SA,CIS,1
83,2021-11-01,Liquid,FaZe,United States,Europe,Mirage,19,22,PGL Major Stockholm 2021,41,-3,2,N_A,EU,1
84,2021-11-01,FaZe,Liquid,Europe,United States,Inferno,16,8,PGL Major Stockholm 2021,24,8,1,EU,N_A,1
85,2021-10-31,ENCE,MOUZ,Europe,Europe,Vertigo,10,16,PGL Major Stockholm 2021,26,-6,2,EU,EU,1
